sample,B.naive,B.mem,Plasma,T.CD8,T.CD4.naive,T.CD4.mem.rest,T.CD4.mem.act,T.folli.hel,T.reg,T.g.d,NK.rest,NK.act,Mono,Macro.M0,Macro.M1,Macro.M2,Dendritic.rest,Dendritic.act,Mast.rest,Mast.act,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ME_64_Nevus,0.007759449,0,0.006669634,0.001899604,0,0.090614162,0,0,0,0.007128739,0,0.002581362,0.004067587,0.003766896,0.000131495,0.056744296,0,0,0.094810458,0,1.33E-05,0,0.213,0.06839819,1.067612018,0.276187019
ME_65_Mel1,0,0.008735095,0,0.003495843,0,0.159236323,0.001392342,0.016624471,0,0.018817447,0,0.009733937,0.021510426,0.036982824,0.021795352,0.099422062,0.012622778,0,0.101995887,0,0,0,0.271,0.055025339,1.057824278,0.512364785
ME_65_Mel2,0.002477464,0,0.004497939,0.018837695,0,0.269786581,0.044171494,0.001836564,0,0.024411907,0,0.015678501,0.053631765,0,0.035108809,0.12313708,0.017943646,0,0.168825786,0,0,0,0.357,0.036606461,1.066836807,0.780345232
ME_65_MIS,0,0.016579764,0,0.025048679,0,0.16284835,0.026760673,0.004932187,0,0.021126926,0,0.002498294,0.040219724,0,0.04804404,0.165306553,0.029593186,0,0.184818609,0,0,0.000672615,0.106,0.10870044,1.035182191,0.7284496
ME_65_Nevus,0,0.005756028,0.002366455,0.02521055,0,0.084972371,0.000883238,0,0,0,0,0.014830223,0.031961606,0,0.003271634,0.094256234,0.002462883,0,0.116784105,0,0,0,0.174,0.077541591,1.056063213,0.382755326
ME_66_Mel,0.00130975,0.028752133,0,0.128901143,0,0.233170158,0.073106503,0.037516798,0,0.097053547,0,0.019674656,0.07767727,0.034905919,0.098114671,0.221354938,0.029958702,0,0.151418396,0,0,0,0.022,0.217420186,0.993192465,1.232914585
ME_66_Nevus,0,0.016871054,0.001032672,0.031765106,0,0.160076115,0.001537289,0,0,0.021595089,0,0.008493096,0.043210424,0.010155679,0.052843379,0.071573506,0.032893335,0,0.18711056,0,0,0,0.028,0.191233604,1.007036609,0.639157305
ME_67_Mel,0.017298879,0,0.001676199,0.147028614,0,0.309007059,0.32036214,0,0,0.118283613,0,0,0,0,0.197894334,0.244455256,0.018562426,0,0.103616453,0,0,0.002062689,0.001,0.501174003,0.866709489,1.480247664
ME_67_MIS,0.00391443,0,0.000563008,0.071947704,0,0.388345399,0.125012777,0.015174291,0,0.138410791,0,0,0,0,0.101138712,0.219809468,0.043190506,0,0.031878037,0,0,0,0.006,0.359986524,0.937951102,1.139385123
ME_67_Nevus,0,0,0.00142821,0.01270518,0,0.185028669,0.035328502,0.001871989,0,0.048994928,0,0,0.004694948,0,0.050419163,0.177260585,0.058750038,0,0.136705614,0,0,0,0.036,0.173632528,1.009397177,0.713187825
ME_68_Mel,0.000351526,0,0.001078132,0.031275845,0,0.222392415,0.037166839,0,0,0.055394552,0,0,0.00948786,0,0.013676207,0.131144559,0.076201255,0,0.111581289,0,0,0,0.051,0.154643494,1.019914097,0.689750477
ME_68_Nevus,0.000381011,0,0.000481312,0,0,0.209371908,0.01620163,0,0,0.010758115,0,0.003853568,0.015094372,0.002109152,0.014726446,0.065189528,0.066856192,0,0.158789717,0,0,0,0.063,0.140411949,1.029825094,0.563812952
ME_69_MIS,0,0,0.00140444,0.016106174,0,0.271870531,0.03479055,0,0,0.004333005,0.001154654,0,0.009737753,0.026872774,0.024015869,0.148460505,0.123407149,0,0.102962672,0,0,0,0.078,0.123170897,1.030016508,0.765116076
ME_69_Nevus,0,0,0.00215493,0.007457407,0,0.309526849,0.038476179,0,0,0.029595056,0,0,0.008416984,0.004426471,0.018699538,0.109253783,0.075817651,0.002259021,0.082015368,0,0,0,0.021,0.224655646,0.995295822,0.688099236
ME_57_Nevus,0,0.003499549,0.000384773,0.003142253,0,0.121176911,0,0.002564633,0,0,0.012284111,0.002775155,0.042454776,0.027016299,0.001934704,0.055799443,0.032271633,0,0.071515572,0,0,0,0.434,0.02763347,1.064860957,0.376819811
ME_58_Nevus_Merged,0.003262919,0.033483597,0,0.003726155,0,0.201668103,0.081466477,0,0,0.018658812,0,0,0.028329796,0,0.00950432,0.144381681,0.002253019,0,0.162640033,0,0,0,0.011,0.247315019,0.980570434,0.689374913
ME_61_MIS2,0,0.003864563,0.001091148,0.016106807,0,0.105205,0.044717014,0.017092873,0,0.055343736,0,0.008007632,0,0.106126269,0.047452637,0.152721329,0.160836265,0,0.106700306,0,0,0,0.027,0.193282867,1.001832687,0.825265578
ME_66_Mel2,0,0.020226494,0,0.048867022,0,0.280753249,0.068398762,0.015943381,0,0.073933663,0,0.034215798,0.069531533,0.001218225,0.074708728,0.224720462,0.027218642,0.001844419,0.156024323,0,0,0,0.043,0.162425936,1.014570572,1.0976047
ME_70_Mel,0,0.002397019,0.002114369,3.62E-05,0,0.02789176,0.025686095,0.009862657,0,0,0.027200992,0,0.018973422,0.008003765,0.001148875,0.071133634,0.000449578,0,0.011850415,0,0.003237471,0.000793038,0.698,-0.002571689,1.077237352,0.210779303
ME_70_Nevus,0,0.008663138,0.089651782,0,0,0.096674705,0.00470801,0.009089674,0,0,0,0.012716692,0.026646288,0,0.004654391,0.038758133,0.000276698,0,0.102979178,0,0,0,0.007,0.323895659,0.957382491,0.394818689
ME_43_Nevus2,0,0.008427596,0.001643978,0,0,0.110472519,0,0.003056448,0,0,0.002605896,0,0.032977997,0.03191106,7.35E-05,0.080724115,0.034103593,0,0.126596749,0,0,0,0.129,0.09585471,1.045885299,0.432593464
ME_61_Nevus2,0,0.002311387,0,0.000261104,0,0.201679795,0.020261784,0.001939745,0,0.033636265,0,0.008159145,0.021792529,0.00226837,0.019367575,0.066262123,0.140496415,0,0.101623868,0,0,0,0.099,0.11209789,1.032976102,0.620060105
CCR_011_Mel2,0,0.006508123,0,0,0,0.070726442,0,0.022637796,0,0,0.003028834,0,0.016154031,0.087710012,0.006150351,0.038347317,0.026897362,0.002509165,0.029588379,0,0.010040024,0.004182952,0.791,-0.011066589,1.092300514,0.324480788
CCR_011_Nevus2,0,0.041491077,0.009668071,0,0,0.097812775,0,0.018084321,0,0,0,0.028878199,0.030876694,0.013345065,0.008545344,0.024920726,0.018818308,0,0.074933826,0,0,0,0.919,-0.025386187,1.083876077,0.367374407
CCR_008_Nevus2,0,0.038027685,0,0.01760525,0,0.229290341,0.004749312,0,0,0,0.018077624,0,0.040440326,0,0.028728569,0.071577683,0.041912205,0,0.075831654,0,0,0,0.118,0.100052894,1.040999881,0.566240649
ME_63_Melanocytoma2,0,0.005512508,0.000751354,0,0,0.066245427,0,0.00296616,0,0,0,0.00165335,0.011233904,0.015776698,0,0.098236761,0.009505607,0,0.060822447,0,0,0,0.492,0.021092721,1.078056654,0.272704216
